candidate,term,tf,tf_per_k
artes,actualmente,9,0.5900478594374877
artes,problema,9,0.5900478594374877
artes,cantidades,9,0.5900478594374877
artes,mixta,9,0.5900478594374877
artes,centro,9,0.5900478594374877
artes,instituciones,9,0.5900478594374877
artes,apoyar,9,0.5900478594374877
artes,pobreza,9,0.5900478594374877
artes,escala,9,0.5900478594374877
artes,funcion,9,0.5900478594374877
artes,integrar,9,0.5900478594374877
artes,edad,9,0.5900478594374877
artes,secundaria,9,0.5900478594374877
artes,pymes,9,0.5900478594374877
artes,historia,8,0.5244869861666558
artes,luchas,8,0.5244869861666558
artes,levantamiento,8,0.5244869861666558
artes,monopolista,8,0.5244869861666558
artes,materia,8,0.5244869861666558
artes,menor,8,0.5244869861666558
artes,tecnologico,8,0.5244869861666558
artes,banco,8,0.5244869861666558
artes,bancos,8,0.5244869861666558
artes,impuestos,8,0.5244869861666558
artes,tipo,8,0.5244869861666558
artes,comerciantes,8,0.5244869861666558
artes,orientada,8,0.5244869861666558
artes,niveles,8,0.5244869861666558
artes,comerciante,8,0.5244869861666558
artes,oprimidos,8,0.5244869861666558
artes,explotados,8,0.5244869861666558
artes,responsabilidad,8,0.5244869861666558
artes,presos,8,0.5244869861666558
artes,violencia,8,0.5244869861666558
artes,atencion,8,0.5244869861666558
artes,plenamente,8,0.5244869861666558
artes,siguientes,8,0.5244869861666558
artes,plena,8,0.5244869861666558
artes,productivo,8,0.5244869861666558
artes,posicion,8,0.5244869861666558
artes,dependencia,8,0.5244869861666558
artes,centros,8,0.5244869861666558
artes,bases,8,0.5244869861666558
artes,dominantes,8,0.5244869861666558
artes,basado,8,0.5244869861666558
artes,s,8,0.5244869861666558
artes,directamente,8,0.5244869861666558
artes,contribucion,8,0.5244869861666558
artes,estara,8,0.5244869861666558
artes,regiones,8,0.5244869861666558
artes,respeto,8,0.5244869861666558
artes,futuro,8,0.5244869861666558
artes,postergados,8,0.5244869861666558
artes,llevara,8,0.5244869861666558
artes,organizados,8,0.5244869861666558
artes,humanidad,8,0.5244869861666558
artes,reaccion,8,0.5244869861666558
artes,nacionalizaciones,8,0.5244869861666558
artes,evaluacion,8,0.5244869861666558
artes,conocimiento,8,0.5244869861666558
artes,automatizacion,8,0.5244869861666558
artes,alto,8,0.5244869861666558
artes,agua,8,0.5244869861666558
artes,fuerza,8,0.5244869861666558
artes,grado,8,0.5244869861666558
artes,pasaran,8,0.5244869861666558
artes,venta,8,0.5244869861666558
artes,reservas,8,0.5244869861666558
artes,moneda,8,0.5244869861666558
artes,trabajar,8,0.5244869861666558
artes,refundadas,8,0.5244869861666558
artes,ninas,8,0.5244869861666558
artes,familia,8,0.5244869861666558
artes,dialecticos,8,0.5244869861666558
artes,delincuencia,8,0.5244869861666558
artes,tomar,7,0.45892611289582375
artes,destino,7,0.45892611289582375
artes,demostrado,7,0.45892611289582375
artes,ido,7,0.45892611289582375
artes,pago,7,0.45892611289582375
artes,fondo,7,0.45892611289582375
artes,unidos,7,0.45892611289582375
artes,resolver,7,0.45892611289582375
artes,fundamentales,7,0.45892611289582375
artes,futura,7,0.45892611289582375
artes,decadas,7,0.45892611289582375
artes,favor,7,0.45892611289582375
artes,campesino,7,0.45892611289582375
artes,necesarios,7,0.45892611289582375
artes,tributaria,7,0.45892611289582375
artes,estudiantes,7,0.45892611289582375
artes,palabras,7,0.45892611289582375
artes,profundo,7,0.45892611289582375
artes,enormes,7,0.45892611289582375
artes,maximo,7,0.45892611289582375
artes,ley,7,0.45892611289582375
artes,necesarias,7,0.45892611289582375
artes,libre,7,0.45892611289582375
artes,integrante,7,0.45892611289582375
artes,encuentran,7,0.45892611289582375
artes,decididamente,7,0.45892611289582375
artes,fuerte,7,0.45892611289582375
artes,mediana,7,0.45892611289582375
